項次,編號,道路編號,道路方向,里程數_公里,速限_公里_小時,X座標,Y座標,WGS84東經_度,WGS84北緯_度,備註
45,H-1-N-157.4-(100),國道1號,北向,157.4,110,221620.79,2692481.91,120.720331,24.337972,國道1號北向157.4
46,H-1-N-172.8-(110),國道1號,北向,172.8,110,189117.33,2668910.11,120.401026,24.124218,國道1號北向172.8
47,H-1-N-233.4-(110),國道1號,北向,233.4,110,195750.15,2628311.01,120.467784,23.75788,國道1號北向233.4
48,H-1-N-224.9-(110),國道1號,北向,224.9,110,197515.32,2636504.87,120.484809,23.831925,國道1號北向224.9
49,H-1-N-254.1-(110),國道1號,北向,254.1,110,191666.65,2608749.59,120.428493,23.581107,國道1號北向254.1
50,H-1-N-261.7-(110),國道1號,北向,261.7,110,189141.18,2601634.66,120.404041,23.516769,國道1號北向261.7
51,H-1-N-277.3-(110),國道1號,北向,277.3,110,184098.68,2587353.79,120.355291,23.387621,國道1號北向277.3
52,H-1-N-292.5-(110),國道1號,北向,292.5,110,175450.22,2575312.28,120.271282,23.278519,國道1號北向292.5
53,H-1-N-301.5-(110),國道1號,北向,301.5,110,171871.11,2567174.46,120.236717,23.204871,國道1號北向301.5
54,H-1-N-309.1-(110),國道1號,北向,309.1,110,171623.55,2559709.65,120.234682,23.137454,國道1號北向309.1
55,H-1-N-323.4-(110),國道1號,北向,323.4,110,173056.53,2545799.23,120.249371,23.011912,國道1號北向323.4
56,H-1-N-334-(110),國道1號,北向,334,110,174108.01,2535466.78,120.260136,22.918658,國道1號北向334
57,H-1-N-336.7-(110),國道1號,北向,336.7,110,175152,2532984.96,120.270433,22.896294,國道1號北向336.7
58,H-1-N-353.3-(110),國道1號,北向,353.3,110,181409.97,2517764.2,120.332099,22.759114,國道1號北向353.3
59,H-1-N-373.4-(60),國道1號,北向,373.4,60,181020.25,2498611.73,120.329146,22.586142,國道1號北向373.4
60,H-1A-S-16.1-(100),國道1號汐五,南向,16.1,100,310678.86,2773032.08,121.601444,25.064278,國道1號汐五南向16.1
61,H-1A-S-29.5-(100),國道1號汐五,南向,29.5,100,297543.45,2774223.23,121.471292,25.075502,國道1號汐五南向29.5
62,H-1A-N-16-(100),國道1號汐五,北向,16,100,310704.45,2772995.53,121.601696,25.063947,國道1號汐五北向16
63,H-1B-S-44.6-(100),國道1號五楊,南向,44.6,100,283559.79,2772542.45,121.332635,25.060703,國道1號五楊南向44.6
64,H-1B-N-38.8-(100),國道1號五楊,北向,38.8,100,288728.83,2773032.43,121.383882,25.065003,國道1號五楊北向38.8
65,H-1B-N-64.3-(100),國道1號五楊,北向,64.3,100,269544.06,2759259.68,121.193528,24.941028,國道1號五楊北向64.3
66,H-2-W-2-(100),國道2號,西向,2,100,271915.06,2771314.78,121.217197,25.049833,國道2號西向2
67,H-2-W-6.4-(100),國道2號,西向,6.4,100,275411.13,2768933.11,121.251802,25.028276,國道2號西向6.4
68,H-2-E-2.4-(100),國道2號,東向,2.4,100,272060.17,2770927.23,121.218629,25.046332,國道2號東向2.4
69,H-2-E-11.8-(100),國道2號,東向,11.8,100,278564.58,2765327.79,121.282975,24.99567,國道2號東向11.8
70,H-2-E-18.5-(100),國道2號,東向,18.5,100,282802.59,2761305.4,121.324863,24.959269,國道2號東向18.5
71,H-3-S-4.7-(90),國道3號,南向,4.7,90,319109.36,2778162.92,121.68526,25.110235,國道3號南向4.7
72,H-3-S-21.8-(90),國道3號,南向,21.8,90,309824.75,2765044.14,121.592632,24.992198,國道3號南向21.8
73,H-3-S-24.6-(90),國道3號,南向,24.6,90,307981.24,2763289.43,121.574297,24.976428,國道3號南向24.6
74,H-3-S-39.3-(100),國道3號,南向,39.3,100,296066.55,2763114.46,121.456281,24.975257,國道3號南向39.3
75,H-3-S-64.2-(110),國道3號,南向,64.2,110,275810.85,2752632.1,121.255459,24.881098,國道3號南向64.2
76,H-3-S-81.5-(110),國道3號,南向,81.5,110,265151.01,2744431.41,121.149866,24.807201,國道3號南向81.5
77,H-3-S-90.2-(110),國道3號,南向,90.2,110,258239.51,2739985.07,121.081475,24.76711,國道3號南向90.2
78,H-3-S-107.4-(110),國道3號,南向,107.4,110,242453.57,2737647.95,120.925391,24.746012,國道3號南向107.4
79,H-3-S-112.2-(110),國道3號,南向,112.2,110,239250.92,2734206.15,120.893754,24.714918,國道3號南向112.2
80,H-3-S-117.1-(110),國道3號,南向,117.1,110,235156.81,2731668.15,120.853314,24.691969,國道3號南向117.1
81,H-3-S-142.9-(110),國道3號,南向,142.9,110,220930.69,2711236.45,120.713148,24.507293,國道3號南向142.9
82,H-3-S-150.2-(110),國道3號,南向,150.2,110,217394.35,2705236.17,120.67839,24.453047,國道3號南向150.2
83,H-3-S-162.1-(110),國道3號,南向,162.1,110,215371.82,2693858.86,120.658717,24.350278,國道3號南向162.1
84,H-3-S-166-(110),國道3號,南向,166,110,212304.58,2691686.62,120.628545,24.330594,國道3號南向166
85,H-3-S-178.6-(110),國道3號,南向,178.6,110,208454.09,2680507.84,120.590926,24.229563,國道3號南向178.6
86,H-3-S-184.1-(110),國道3號,南向,184.1,110,205490.79,2676234.44,120.561881,24.190897,國道3號南向184.1
87,H-3-S-253.2-(110),國道3號,南向,253.2,110,212159.59,2630141.98,120.628718,23.774884,國道3號南向253.2
88,H-3-S-282.7-(110),國道3號,南向,282.7,110,199518.86,2607529.41,120.505462,23.570353,國道3號南向282.7
89,H-3-S-313.7-(110),國道3號,南向,313.7,110,192078.94,2581295.07,120.433591,23.333214,國道3號南向313.7
90,H-3-S-342.1-(110),國道3號,南向,342.1,110,181093.97,2556669.5,120.327289,23.110423,國道3號南向342.1
91,H-3-S-358.6-(110),國道3號,南向,358.6,110,182169.01,2541178.1,120.338467,22.970579,國道3號南向358.6
